SALMO,COMPOSITOR,HARMONIZAÇÃO,METRIFICAÇÃO,MODO,MÉTRICA,ORIGEM/MELODIA,TIPO,VÍDEO
73.1-16B,"Sacred Melody, 1761",,"Comissão Brasileira de Salmodia, 2021 (rev. 2022)",,10. 12. 10. 12,Old German,Melodia harmônica,https://youtu.be/JtGM6l_tIio?feature=shared
73.17-28B,"Sacred Melody, 1761",,"Comissão Brasileira de Salmodia, 2021 (rev. 2022)",,10. 12. 10. 12,Old German,Melodia harmônica,
73A,,"Claude Goudimel, 1564","Comissão Brasileira de Salmodia, 2020",Eólio,9 6. 9 6. 9 6. 9 6,"Saltério de Genebra, 1543",Genebrino,https://youtu.be/2DN8-v3_Lc4?feature=shared
74F,,,,,,,Inexistente,
75F,,,,,,,Inexistente,
76F,,,,,,,Inexistente,
77F,,,,,,,Inexistente,
78B,"Eugene Monroe Bartlett, 1939",,Comissão Brasileira de Salmodia,,15. 15. 15. 14. 13. 12. 14. 13,Hartford,Melodia harmônica,
79F,,,,,,,Inexistente,
80F,,,,,,,Inexistente,
81B,"Praxis Pietatis Melica, 1668",,"Comissão Brasileira de Salmodia, 2021 (rev. 2022)",,14.14.4 7.8,Lobe Den Herren,Melodia harmônica,
81A,,"Claude Goudimel, 1564","Comissão Brasileira de Salmodia, 2010",Jônio,5 6. 5 5. 5 6,"Saltério de Genebra, 1562",Genebrino,https://youtu.be/QOfNh3u-kDw?si=dePl7m1IZ4TJCxGJ
82F,,,,,,,Inexistente,
83F,,,,,,,Inexistente,
84B,"D. Evans, 1865",,"Comissão Brasileira de Salmodia, 2010",,7. 6. 7. 6,Llangloffan,Melodia harmônica,https://youtu.be/1ToApmL3XU4?si=EIze0J2fuSwBxcrC
85B,"Melodia francesa, século XV","Thomas Helmore, 1851","Comissão Brasileira de Salmodia, 2011",,10 10. 9 10. 10 10,Veni Emmanuel,Melodia harmônica,
85A,,"Claude Goudimel, 1564","Comissão Brasileira de Salmodia, 2011 (rev. 2022)",Mixolídico,10 10. 10 10. 10 10. 10 10,"Saltério de Genebra, 1562",Genebrino,
86F,,,,,,,Inexistente,
87B,Melodia afro-americana,,"Comissão Brasileira de Salmodia, 2015",,10. 10. 14. 8,Break bread,Melodia harmônica,https://youtu.be/FpYoU-EH5Ck?si=tqyRpxjJ43tBA8sH
88B,"Johann Crüger, 1653","Johann Sebastian Bach, 1723","Comissão Brasileira de Salmodia, 2024",,6 6 5. 6 6 5. 7 8 6,"Jesu, meine Freude",Melodia harmônica,
98B,Melodia galesa tradicional,,"Comissão Brasileira de Salmodia, 2022",,12. 11. 12. 11. 12. 11. 12. 11,Ash Grove,Melodia harmônica,
89A,,"Claude Goudimel, 1564","Comissão Brasileira de Salmodia, 2014 (rev. 2022)",Hipojônio,9 8. 9 8. 9 8. 9 8,"Saltério de Genebra, 1543",Genebrino,https://youtu.be/BaHw-zr0jUw?si=7FHCzTlbXfArXDXZ
90F,,,,,,,Inexistente,
91B,"Henri Frederick Hemy, 1864",,Comissão Brasileira de Salmodia (rev. 2020),,10 10. 10. 9. 8 8,St. Catherine,Melodia harmônica,
92B,"Henri Frederick Hemy, 1864",,"Comissão Brasileira de Salmodia, 2024",,8 8. 8 8. 8 8,Woodlands,Melodia harmônica,
93A,,"Claude Goudimel, 1564","Comissão Brasileira de Salmodia, 2020",Hipomixolídico,10 10. 10 10,"Saltério de Genebra, 1562",Genebrino,https://youtu.be/Jkv-GmaSC6s?feature=shared
93F,,,,,,,Inexistente,
94B,"John Thomas Grape, 1868",,"Comissão Brasileira de Salmodia, 2021",,7 6. 7 7. 6 5. 7 6,All to Christ I Owe,Melodia harmônica,
95B,"Franz Joseph Haydn, 1797",,"Comissão Brasileira de Salmodia, 2021",,8 7. 8 7. 8 7. 8 7,Gott erhalte Franz den Kaiser,Melodia harmônica,
